model,dataset,horizon,mae,rmse,pcc,r2
msagat,japan,3,530.7577,1498.4446,0.8091,0.6250
msagat,japan,5,656.8947,1496.3253,0.8703,0.6261
msagat,japan,10,637.3140,1561.6700,0.8498,0.5927
msagat,japan,15,650.1799,1572.9353,0.8189,0.5868
msagat,region785,3,348.5526,681.4818,0.9022,0.8069
msagat,region785,5,441.1606,842.6809,0.8443,0.7047
msagat,region785,10,561.5322,949.5238,0.7929,0.6251
msagat,region785,15,754.0118,1332.9804,0.6225,0.2611
msagat,state360,3,69.2268,182.3573,0.9208,0.8450
msagat,state360,5,81.3138,199.2106,0.9050,0.8150
msagat,state360,10,98.1600,236.9690,0.8804,0.7383
msagat,state360,15,101.2221,240.7494,0.8726,0.7299
msagat,australia-covid,3,59.4190,207.3957,0.9982,0.9896
msagat,australia-covid,7,161.3769,493.0645,0.9908,0.9413
msagat,australia-covid,14,208.3062,612.6546,0.9864,0.9094
msagat,ltla_timeseries,3,23.9366,48.9773,0.9463,0.8945
msagat,ltla_timeseries,7,43.7265,85.5500,0.8485,0.6782
msagat,ltla_timeseries,14,62.7641,118.5225,0.6394,0.3823
msagat,nhs_timeseries,3,1.9735,2.5997,0.9940,0.9878
msagat,nhs_timeseries,7,5.3732,7.1070,0.9706,0.9085
msagat,nhs_timeseries,14,7.8444,10.2250,0.9114,0.8106
msagat,spain-covid,3,7.6963,24.3839,0.0224,-103.3343
msagat,spain-covid,7,7.1137,38.9759,-0.0120,-265.5709
msagat,spain-covid,14,14.3797,131.4712,-0.0194,-3032.0637
epignn,japan,3,1702.9377,3015.1267,0.0599,-0.5183
epignn,japan,5,1647.8473,2944.5526,0.0975,-0.4481
epignn,japan,10,1550.1547,2805.3509,0.1736,-0.3144
epignn,japan,15,1547.4335,2798.4628,0.1763,-0.3079
epignn,region785,3,2393.9500,2879.1909,0.5261,-2.4473
epignn,region785,5,2385.3013,2874.8316,0.5181,-2.4368
epignn,region785,10,2290.8979,2781.2070,0.5005,-2.2166
epignn,region785,15,2451.8430,2968.2860,0.4973,-2.6639
epignn,state360,3,4026.6333,6432.4648,-0.6761,-191.8474
epignn,state360,5,4027.7573,6434.8193,-0.6781,-191.9886
epignn,state360,10,4036.4202,6449.2195,-0.6808,-192.8533
epignn,state360,15,4066.3242,6496.4366,-0.6799,-195.7022
epignn,australia-covid,3,1181.3640,2818.7532,-0.7885,-0.9184
epignn,australia-covid,7,1194.0486,2833.8256,-0.7794,-0.9390
epignn,australia-covid,14,1163.1716,2794.1731,-0.7957,-0.8851
epignn,ltla_timeseries,3,5541.1299,8098.6683,0.1442,-2883.2537
epignn,ltla_timeseries,7,5537.7217,8093.0877,0.1437,-2879.2800
epignn,ltla_timeseries,14,5542.1943,8100.4328,0.1439,-2884.5107
epignn,nhs_timeseries,3,299.6923,351.2918,0.8286,-222.5726
epignn,nhs_timeseries,7,173.1919,204.6447,0.8155,-74.8723
epignn,nhs_timeseries,14,168.1863,199.0040,0.8040,-70.7474
epignn,spain-covid,3,50.6231,161.7655,0.0688,-4590.8940
epignn,spain-covid,7,50.2301,153.5083,0.0696,-4134.0811
epignn,spain-covid,14,42.5157,119.4168,0.0880,-2501.3691
colagnn,japan,3,1631.9407,3052.9794,0.2733,-0.5173
colagnn,japan,5,1523.6750,2898.6888,-0.0276,-0.3325
colagnn,japan,10,1625.4172,2943.5917,0.1264,-0.3502
colagnn,japan,15,3011.1211,4823.7400,-0.0379,-3.5728
colagnn,region785,3,999.8434,1455.6584,0.5214,0.1264
colagnn,region785,5,1576.0800,2369.7818,0.1786,-1.2951
colagnn,region785,10,1353.5546,2082.5959,0.0733,-0.7425
colagnn,region785,15,1740.1106,2575.0386,-0.0371,-1.7271
colagnn,state360,3,3088.3657,6346.4065,-0.1007,-184.0868
colagnn,state360,5,391.7233,857.6857,-0.1574,-2.3266
colagnn,state360,10,365.2924,793.0640,-0.0427,-1.7037
colagnn,state360,15,278.7981,562.2772,0.3674,-0.2795
colagnn,australia-covid,3,725.0612,1771.6218,0.5802,0.2326
colagnn,australia-covid,7,1305.4976,2961.7019,-0.3176,-1.1929
colagnn,australia-covid,14,911.6201,2044.0205,0.2166,-0.0771
colagnn,nhs_timeseries,3,57.6689,66.1859,0.8887,-6.9351
colagnn,nhs_timeseries,7,119.8486,166.3513,0.1934,-49.1390
colagnn,nhs_timeseries,14,74.3798,149.3437,-0.0399,-39.4487
colagnn,spain-covid,3,317.4084,1147.8299,-0.0387,-227121.7812
colagnn,spain-covid,7,74.1008,233.8949,-0.0348,-10307.1914
colagnn,spain-covid,14,102.7797,314.5549,0.0024,-18952.7188
