n_seeds,seeds,mae_mean,mae_std,rmse_mean,rmse_std,pcc_mean,pcc_std,R2_mean,R2_std,dataset,horizon,ablation
16,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(30), np.int64(42), np.int64(45), np.int64(123), np.int64(1000)]",363.2009029388428,58.204450318193544,1133.8545770889782,116.33137762712373,0.8635963685810566,0.021695072370296005,0.7089058086276054,0.03193801385832792,japan,3,none
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",449.43782806396484,105.86179552994827,1236.355209170726,189.7630921212288,0.8584783375263214,0.02944031267322203,0.6990301460027695,0.04679132870611613,japan,3,no_agam
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",431.16370391845703,72.51808852668947,1232.1645401720043,139.46442984758946,0.8606645613908768,0.012556186526795916,0.7008961737155914,0.019238706228977453,japan,3,no_mtfm
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",435.765625,65.35887268572178,1203.983814665453,104.09583456423404,0.8807745575904846,0.01646164606075855,0.7132833302021027,0.010804728901506142,japan,3,no_pprm
24,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(20), np.int64(30), np.int64(30), np.int64(42), np.int64(42), np.int64(45), np.int64(45), np.int64(100), np.int64(123), np.int64(123), np.int64(500), np.int64(1000), np.int64(1000)]",391.44157282511395,46.41176053558287,1142.1822651522325,90.16270735018442,0.8656385689973831,0.025019224348803066,0.6943168938159943,0.036059138975784506,japan,5,none
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",517.9072952270508,131.247975309862,1388.3182076854694,197.18176375873608,0.8567820638418198,0.013040503219833473,0.620669424533844,0.04938452406395973,japan,7,none
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",519.318733215332,134.56798237571982,1424.4133769593325,229.40234913642539,0.843896210193634,0.03883533624828509,0.6003582179546356,0.07042518864130402,japan,7,no_agam
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",522.2043151855469,114.43266820588846,1408.8083696293531,149.5243798257791,0.8575258702039719,0.011657749448410188,0.6087718456983566,0.01783503857104017,japan,7,no_mtfm
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",492.7129592895508,119.91480793207326,1350.995832511409,178.3179513868573,0.8705078065395355,0.01747165409844966,0.6403905898332596,0.04168137746109623,japan,7,no_pprm
24,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(20), np.int64(30), np.int64(30), np.int64(42), np.int64(42), np.int64(45), np.int64(45), np.int64(100), np.int64(123), np.int64(123), np.int64(500), np.int64(1000), np.int64(1000)]",498.3209622701009,54.50718518250611,1383.488441618026,101.53359272178118,0.8167580142617226,0.035992215323590655,0.5575310488541921,0.056328765410105286,japan,10,none
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",582.2094573974609,67.80327629521355,1457.4664312446564,134.0799968114745,0.7969537228345871,0.01900511210883405,0.5800188034772873,0.021274218991503228,japan,14,none
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",582.7784042358398,98.82490226472686,1475.0931850172876,147.08501543513307,0.8001833111047745,0.009616210084246336,0.5704364478588104,0.02191120378018613,japan,14,no_agam
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",605.2881317138672,95.41645878059563,1529.0153513821735,218.83468129537619,0.7778263241052628,0.02647252676922499,0.5383891314268112,0.07164562628567052,japan,14,no_mtfm
4,"[np.int64(1), np.int64(5), np.int64(5), np.int64(42)]",574.2806167602539,99.72888187408398,1496.2136948627763,198.14597978530682,0.792113721370697,0.007674232895485217,0.5594782084226608,0.04709681924376164,japan,14,no_pprm
23,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(20), np.int64(30), np.int64(30), np.int64(42), np.int64(45), np.int64(45), np.int64(100), np.int64(123), np.int64(123), np.int64(500), np.int64(1000), np.int64(1000)]",511.2460897694463,56.07514280933527,1358.9145955221354,99.9794941516695,0.797600956066795,0.033939933613280814,0.5664384520572164,0.05989148229974268,japan,15,none
