model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250501_080326,region785,20,10,557.39636,351.9063,999.0709121478816,838.10876,0.7632567453301238,0.6187291467963847,8.364421129226684e-08,0.5085219709832023,0.1705664367229289,0.5679029226303101,0.3392391979694366,807.9502
MSTAGAT-Net,20250501_132215,region785,20,10,652.0771484375,395.30859375,1140.3031395203643,952.7443237304688,0.6822236302024574,0.4589099870163293,1.4139646291732788e-07,0.3597462937541711,-0.058730235288243,0.4105532169342041,0.1746480584144592,852.6005249023438
MSTAGAT-Net,20250501_132622,region785,20,10,652.0771484375,395.30859375,1140.3031395203643,952.7443237304688,0.6822236302024574,0.4589099870163293,1.4139646291732788e-07,0.3597462937541711,-0.058730235288243,0.4105532169342041,0.1746480584144592,852.6005249023438
MSTAGAT-Net,20250501_132851,region785,20,10,689.4243774414062,407.6996765136719,1196.9668437346124,1000.3938598632812,0.6036094062434647,0.2237625824877206,1.614507794380188e-07,0.2945345869955887,-0.1820280956107211,0.3350332379341125,0.052444177865982,879.9163818359375
MSTAGAT-Net,20250501_133125,region785,20,10,653.6773071289062,391.3893432617188,1089.111794078092,915.7122802734376,0.6571729138622809,0.4080610680801909,1.4994345903396605e-07,0.415941413789717,-0.024345273784001,0.4238283038139343,0.1571410715579986,777.0432739257812
MSTAGAT-Net,20250501_133637,region785,20,10,638.79150390625,356.92694091796875,1106.929819365257,938.5613403320312,0.6822368289486704,0.4397819867467449,1.488704204559326e-07,0.3966745300683955,-0.1237467772277408,0.4260760545730591,0.1356083393096923,811.619384765625
MSTAGAT-Net,20250501_135439,region785,20,10,597.366943359375,361.3782958984375,1053.9283656871562,888.9195556640625,0.7221952749895061,0.4269371840972389,1.3250116109848026e-07,0.4530675951301066,0.0029206282259738,0.4825180172920227,0.1317624568939209,754.587158203125
MSTAGAT-Net,20250501_142917,region785,20,10,604.5303955078125,403.3738403320313,1038.425490827339,861.68310546875,0.7669226036336612,0.6406596347186149,6.841598749160768e-08,0.4690396040051736,0.1684044577403844,0.5737471580505371,0.4083142459392547,864.0308837890625
MSTAGAT-Net,20250501_153047,region785,20,10,617.10888671875,429.9407653808594,1138.6300430780843,931.5510864257812,0.7684700151886015,0.638481570306302,8.052917122840883e-08,0.3616236767645945,0.0891427535171265,0.4826911091804504,0.3435546696186066,904.5553588867188
MSTAGAT-Net,20250501_154638,region785,20,10,658.9387817382812,462.13287353515625,1236.1405158799707,1020.2457885742188,0.7148413986491375,0.5369376008016026,6.53416633605957e-08,0.2476028259944093,-0.1181558205243501,0.4184889197349548,0.2408879578113555,996.4307861328124
MSTAGAT-Net,20250501_155010,region785,20,10,667.53076171875,428.545166015625,1185.5290485686128,983.4739990234376,0.6761426586373152,0.3809389665910696,1.1173602342605592e-07,0.3079525557092285,-0.0674127167587335,0.4027900695800781,0.1363108336925506,925.102783203125
MSTAGAT-Net,20250501_161014,region785,20,10,614.4677124023438,445.9498291015625,1192.001625418355,954.8479614257812,0.6110235238110286,0.4777950901774764,8.663241267204285e-08,0.3003751982275714,0.009674656385902,0.3234954476356506,0.0820784032344818,819.1907348632812
MSTAGAT-Net,20250501_162907,region785,20,10,667.53076171875,428.545166015625,1185.5290485686128,983.4739990234376,0.6761426586373152,0.3809389665910696,1.1173602342605592e-07,0.3079525557092285,-0.0674127167587335,0.4027900695800781,0.1363108336925506,925.102783203125
MSTAGAT-Net,20250501_165109,region785,20,10,617.10888671875,429.9407653808594,1138.6300430780843,931.5510864257812,0.7684700151886015,0.638481570306302,8.052917122840882e-08,0.3616236767645945,0.0891427535171265,0.48269110918045044,0.3435546696186066,904.5553588867188
